date,uniqueID,max,min,humidity,steps
10/20/20,nutella,91,75.2,43,2484
10/21/20,nutella,91,73.4,45,2196
10/22/20,nutella,91,73,78,2263
10/23/20,nutella,84.9,57,82,1604
10/24/20,nutella,66.9,53.1,0,57
10/25/20,nutella,86,55,70,401
10/26/20,nutella,82,45,90,897
10/27/20,nutella,46,39.9,89,1279
10/28/20,nutella,61,39,90,273
10/29/20,nutella,64,39.9,81,217
10/30/20,nutella,73,45,62,1569
10/31/20,nutella,79,41,78,281
11/1/20,nutella,79,50,73,2204
11/2/20,nutella,78.1,46.9,0,1911
11/3/20,nutella,81,43,64,477
11/4/20,nutella,82,48,68,1427
11/5/20,nutella,82.9,57,86,2653
11/6/20,nutella,80.1,64,86,1182
11/7/20,nutella,72,59,80,1123
11/8/20,nutella,73,64,86,6275
11/9/20,nutella,85,61,83,2070
11/10/20,nutella,82,65,86,3247
11/11/20,nutella,81,64,41,3524
11/12/20,nutella,84,58,58,702
11/13/20,nutella,84,58,86,236
11/14/20,nutella,84,71,80,445
11/15/20,nutella,73,60,63,400
11/16/20,nutella,76,35,57,153
10/20/20,Enbibi,91,75.2,43,5057
10/21/20,Enbibi,91,73.4,45,7739
10/22/20,Enbibi,91,73,78,495
10/23/20,Enbibi,84.9,57,82,3140
10/24/20,Enbibi,66.9,53.1,0,3880
10/25/20,Enbibi,86,55,70,289
10/26/20,Enbibi,82,45,90,2398
10/27/20,Enbibi,46,39.9,89,423
10/28/20,Enbibi,61,39,90,774
10/29/20,Enbibi,64,39.9,81,540
10/30/20,Enbibi,73,45,62,4429
10/31/20,Enbibi,79,41,78,744
11/1/20,Enbibi,79,50,73,5298
11/2/20,Enbibi,78.1,46.9,0,1463
11/3/20,Enbibi,81,43,64,4772
11/4/20,Enbibi,82,48,68,5407
11/5/20,Enbibi,82.9,57,86,2738
11/6/20,Enbibi,80.1,64,86,6690
11/7/20,Enbibi,72,59,80,8371
11/8/20,Enbibi,73,64,86,3205
11/9/20,Enbibi,85,61,83,1490
11/10/20,Enbibi,82,65,86,8161
11/11/20,Enbibi,81,64,41,4350
11/12/20,Enbibi,84,58,58,14312
11/13/20,Enbibi,84,58,86,11911
11/14/20,Enbibi,84,71,80,12077
11/15/20,Enbibi,73,60,63,5473
11/16/20,Enbibi,76,35,57,389
10/20/20,artificiallyintelligent,91,75.2,43,3245
10/21/20,artificiallyintelligent,91,73.4,45,2243
10/22/20,artificiallyintelligent,91,73,78,3468
10/23/20,artificiallyintelligent,84.9,57,82,4678
10/24/20,artificiallyintelligent,66.9,53.1,0,2468
10/25/20,artificiallyintelligent,86,55,70,3211
10/26/20,artificiallyintelligent,82,45,90,7890
10/27/20,artificiallyintelligent,46,39.9,89,6780
10/28/20,artificiallyintelligent,61,39,90,8974
10/29/20,artificiallyintelligent,64,39.9,81,2212
10/30/20,artificiallyintelligent,73,45,62,1345
10/31/20,artificiallyintelligent,79,41,78,1200
11/1/20,artificiallyintelligent,79,50,73,3566
11/2/20,artificiallyintelligent,78.1,46.9,0,2245
11/3/20,artificiallyintelligent,81,43,64,1344
11/4/20,artificiallyintelligent,82,48,68,789
11/5/20,artificiallyintelligent,82.9,57,86,4678
11/6/20,artificiallyintelligent,80.1,64,86,3566
11/7/20,artificiallyintelligent,72,59,80,1135
11/8/20,artificiallyintelligent,73,64,86,658
11/9/20,artificiallyintelligent,85,61,83,457
11/10/20,artificiallyintelligent,82,65,86,786
11/11/20,artificiallyintelligent,81,64,41,287
11/12/20,artificiallyintelligent,84,58,58,356
11/13/20,artificiallyintelligent,84,58,86,1995
11/14/20,artificiallyintelligent,84,71,80,897
11/15/20,artificiallyintelligent,73,60,63,688
11/16/20,artificiallyintelligent,76,35,57,645